price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,has_basement,yr_built,is_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
221900.0,3,1,13.854763219012543,66.24511013886614,1,0,0,3,7,4.543318837375511,0,1955,0,98178,47.5112,-122.257,4.8648813961538835,90.8257955471192
538000.0,3,3,16.681685977723987,73.00456404637883,2,0,0,3,7,4.766770139811424,1,1951,1,98125,47.721,-122.319,4.963410887090549,103.60410358717495
180000.0,2,1,12.458439374471052,82.79198419575036,1,0,0,3,6,4.375341921687963,0,1933,0,98028,47.7379,-122.233,5.1572892982945975,106.06549091832956
604000.0,4,3,15.65421848503439,63.142535875256485,1,0,0,5,7,4.498352131933352,1,1965,0,98136,47.5208,-122.393,4.87125202532814,86.09762730712735
510000.0,3,2,15.090795455801398,76.19307327483892,1,0,0,3,8,4.675146637044372,0,1987,0,98074,47.6168,-122.045,4.989725277404154,102.79617767759255
1225000.0,4,5,18.701423909984904,106.48830190301103,1,0,0,3,11,4.951361349768255,1,2001,0,98053,47.6561,-122.005,5.2728576811081265,148.6737608959583
257500.0,3,3,15.16529298032752,71.30722653449767,2,0,0,3,7,4.682646964665199,0,1995,0,98003,47.3097,-122.327,5.079132369278626,98.5994682186281
291850.0,3,2,13.494220538766474,81.85250522789534,1,0,0,3,7,4.502030396077217,0,1963,0,98198,47.4095,-122.315,4.953364083549021,115.01261503452606
229500.0,3,1,15.30037066247763,73.89390604731626,1,0,0,3,7,4.498352131933352,1,1960,0,98146,47.5123,-122.337,4.985076770011659,106.35720013198632
323000.0,3,3,15.519938931527467,70.23535990329333,2,0,0,3,7,4.717708905072767,0,2003,0,98038,47.3684,-122.031,5.105662520033069,103.1952409554035
662500.0,3,3,17.982714996080375,82.13061009067656,1,0,0,3,8,4.7119669306383765,1,1965,0,98007,47.6007,-122.145,5.074025884688453,110.86670638512506
468000.0,2,1,13.796846035594335,67.8241316021752,1,0,0,4,7,4.419780013999444,1,1942,0,98115,47.69,-122.292,4.861656126655042,93.24289759181674
310000.0,3,1,14.517718145857042,106.48830190301103,2,0,0,4,7,4.615809138073158,0,1927,0,98028,47.7558,-122.229,4.985076770011659,129.21627047580995
400000.0,3,2,14.367925183753234,81.7507014561899,1,0,0,4,7,4.599803005363297,0,1977,0,98074,47.6127,-122.045,4.874398211817743,117.53542322448236
530000.0,5,2,15.361342011565927,62.391307855937825,2,0,0,3,7,4.70215916521387,0,1900,0,98107,47.67,-122.394,4.87125202532814,84.95710351010834
650000.0,4,3,17.223347949159724,63.142535875256485,2,0,3,3,9,4.734332555046042,1,1979,0,98126,47.5714,-122.375,5.060936838835265,78.07528015344536
395000.0,3,2,15.519938931527467,94.45274951011083,2,0,0,3,7,4.717708905072767,0,1994,0,98019,47.7277,-121.962,5.009952688264175,134.8837140665982
485000.0,4,1,14.915569599374285,59.505707466199794,2,0,0,4,7,4.657315088772749,0,1916,0,98103,47.6648,-122.343,4.943041443196001,80.5922462551869
